t00_000|<:t00_000:1403934252160258058>
t00_001|<:t00_001:1403934463238607041>
t00_003|<:t00_003:1403934468514906235>
t00_004|<:t00_004:1403934474311303269>
t00_005|<:t00_005:1403934480288321616>
t00_006|<:t00_006:1403934485313093642>
t00_007|<:t00_007:1403934491218804736>
t00_008|<:t00_008:1403934505391227081>
t00_009|<:t00_009:1403934509170299021>
t00_010|<:t00_010:1403934514966696016>
t00_011|<:t00_011:1403934521522524294>
t00_012|<:t00_012:1355545247811371058>
t01_000|<:t01_000:1403934264197775360>
t01_001|<:t01_001:1403934526010560532>
t01_002|<:t01_002:1403934530913697853>
t01_003|<:t01_003:1403934536127217754>
t01_004|<:t01_004:1403934540074057748>
t01_005|<:t01_005:1403934552119836723>
t01_006|<:t01_006:1403934557203599513>
t02_000|<:t02_000:1403934274104594433>
t02_001|<:t02_001:1403934562094026812>
t02_002|<:t02_002:1403934567810728037>
t02_003|<:t02_003:1403934576627417108>
t02_004|<:t02_004:1403934584185557156>
t02_005|<:t02_005:1403934591353618564>
t02_006|<:t02_006:1403934598320357386>
t02_007|<:t02_007:1403934605828161546>
t02_008|<:t02_008:1403934610420662404>
t02_010|<:t02_010:1403934615705620562>
t02_011|<:t02_011:1403934622131421315>
t02_012|<:t02_012:1403934631190990878>
t02_013|<:t02_013:1403934638262714409>
t02_014|<:t02_014:1403934647473143808>
t02_015|<:t02_015:1403934653412413450>
t02_016|<:t02_016:1403934660228284427>
t02_017|<:t02_017:1403934668616892456>
t02_018|<:t02_018:1403934673859510303>
t02_019|<:t02_019:1403934679526019083>
t02_020|<:t02_020:1403934683921911878>
t02_021|<:t02_021:1403934688556355686>
t02_022|<:t02_022:1403934693862277240>
t02_023|<:t02_023:1403934698513891429>
t03_000|<:t03_000:1403934283579654224>
t03_001|<:t03_001:1403934705576841360>
t03_002|<:t03_002:1403934711285551256>
t03_003|<:t03_003:1403934722110787699>
t03_004|<:t03_004:1403934717912416357>
t03_005|<:t03_005:1403934751282167941>
t03_006|<:t03_006:1403934978160721950>
t03_010|<:t03_010:1403934988642291712>
t03_011|<:t03_011:1403934992261971969>
t03_012|<:t03_012:1403934996972179456>
t03_020|<:t03_020:1403935002554667061>
t03_021|<:t03_021:1403935008812437574>
t03_022|<:t03_022:1403935013115789485>
t03_030|<:t03_030:1403935018535096320>
t03_031|<:t03_031:1403935023748612188>
t03_032|<:t03_032:1403935027321901119>
t04_000|<:t04_000:1403934293968818217>
t04_001|<:t04_001:1403935052584452286>
t04_002|<:t04_002:1403935057038540810>
t04_003|<:t04_003:1403935063350968320>
t04_004|<:t04_004:1403935075451535430>
t04_005|<:t04_005:1403935081097334875>
t04_006|<:t04_006:1403935086814167070>
t04_007|<:t04_007:1403935091213991977>
t04_008|<:t04_008:1403935096347693056>
t04_009|<:t04_009:1403935101968060496>
t04_010|<:t04_010:1403935106640646164>
t04_011|<:t04_011:1403935111422148608>
t04_012|<:t04_012:1403935116925079582>
t04_013|<:t04_013:1403935125137522728>
t04_014|<:t04_014:1403935130426544170>
t04_015|<:t04_015:1403935137628033146>
t04_016|<:t04_016:1403935141679595590>
t04_017|<:t04_017:1403935145622241321>
t04_018|<:t04_018:1403935152060629022>
t04_019|<:t04_019:1403935161153880155>
t04_020|<:t04_020:1403935168460361739>
t04_021|<:t04_021:1403935172478501045>
t04_022|<:t04_022:1403935177733967956>
t05_000|<:t05_000:1403934302005362749>
t05_001|<:t05_001:1403935191440818319>
t05_002|<:t05_002:1403935197518364834>
t05_003|<:t05_003:1403935203566817320>
t05_004|<:t05_004:1403935209417867396>
t05_005|<:t05_005:1403935214190723093>
t05_006|<:t05_006:1403935217948823642>
t05_007|<:t05_007:1403935223661592666>
t05_010|<:t05_010:1403935228220932156>
t05_011|<:t05_011:1403935231941152808>
t05_012|<:t05_012:1403935237158862909>
t05_013|<:t05_013:1403935242833625209>
t05_014|<:t05_014:1403935248286351401>
t05_015|<:t05_015:1403935254103982220>
t05_016|<:t05_016:1403935258222530601>
t05_017|<:t05_017:1403935263583109150>
t05_020|<:t05_020:1403935270616957039>
t05_021|<:t05_021:1403935276061167697>
t05_022|<:t05_022:1403935280322576524>
t05_023|<:t05_023:1403935286534078524>
t05_024|<:t05_024:1403935291932278784>
t05_025|<:t05_025:1403935296533561536>
t05_026|<:t05_026:1403935309028397226>
t05_027|<:t05_027:1403935313880944640>
t05_030|<:t05_030:1403935319622942861>
t05_031|<:t05_031:1403935330012233868>
t05_032|<:t05_032:1403935330775863356>
t05_033|<:t05_033:1403935333074079814>
t05_034|<:t05_034:1403935339151888464>
t05_035|<:t05_035:1403935343987921006>
t05_036|<:t05_036:1403935347909328956>
t05_037|<:t05_037:1403935354385334372>
t05_040|<:t05_040:1403935359792058439>
t05_041|<:t05_041:1403935363554214068>
t05_042|<:t05_042:1403935387210088498>
t05_043|<:t05_043:1403935392763220149>
t05_050|<:t05_050:1403935403014225940>
t05_051|<:t05_051:1403935410496733224>
t05_052|<:t05_052:1403935416305979422>
t05_053|<:t05_053:1403935420789555210>
t05_060|<:t05_060:1403935425864798289>
t05_061|<:t05_061:1403935431795408926>
t05_062|<:t05_062:1403935437462048798>
t05_063|<:t05_063:1403935443497521294>
t05_070|<:t05_070:1403935450024116317>
t05_071|<:t05_071:1403935456139415613>
t05_072|<:t05_072:1403935466838954014>
t05_073|<:t05_073:1403935472043950200>
t05_080|<:t05_080:1403935476972519506>
t05_081|<:t05_081:1403935482458538015>
t05_082|<:t05_082:1403935487076597860>
t05_083|<:t05_083:1403935491241279538>
t06_000|<:t06_000:1403934311958319176>
t06_001|<:t06_001:1403935500175282359>
t06_002|<:t06_002:1403935505569288233>
t06_003|<:t06_003:1403935515887140884>
t06_004|<:t06_004:1403935521528610816>
t06_005|<:t06_005:1403935524640657488>
t06_006|<:t06_006:1403935535713488966>
t06_007|<:t06_007:1403935536850276463>
t06_008|<:t06_008:1403935539979096125>
t06_010|<:t06_010:1403935546455228437>
t06_011|<:t06_011:1403935551362568265>
t06_012|<:t06_012:1403935554772668577>
t06_013|<:t06_013:1403935574125052034>
t06_014|<:t06_014:1403935579254689945>
t06_015|<:t06_015:1403935584078139402>
t06_016|<:t06_016:1403935591032422470>
t06_020|<:t06_020:1403935595637637121>
t06_021|<:t06_021:1403935599886598174>
t06_022|<:t06_022:1403935606303752253>
t06_023|<:t06_023:1403935609659064370>
t06_024|<:t06_024:1403935613710766180>
t06_025|<:t06_025:1403935619775860756>
t06_026|<:t06_026:1403935624167428198>
t06_030|<:t06_030:1403935628231446568>
t06_031|<:t06_031:1403935639765909584>
t06_032|<:t06_032:1403935644161675374>
t06_033|<:t06_033:1403935648670552206>
t06_034|<:t06_034:1403935656899510392>
t06_035|<:t06_035:1403935663497150604>
t06_036|<:t06_036:1403935667829866587>
t07_000|<:t07_000:1403934319453536327>
t08_000|<:t08_000:1403934356162215989>
t08_001|<:t08_001:1403935685047488652>
t08_002|<:t08_002:1403935691485876275>
t08_003|<:t08_003:1403935695994749111>
t08_004|<:t08_004:1403935705104781382>
t08_010|<:t08_010:1403935711719194747>
t08_011|<:t08_011:1403935717322653727>
t08_012|<:t08_012:1403935721018101903>
t08_013|<:t08_013:1403935727892430888>
t08_014|<:t08_014:1403935734125297764>
t08_020|<:t08_020:1403935739519041667>
t08_021|<:t08_021:1403935747207336036>
t08_022|<:t08_022:1403935753251328000>
t08_023|<:t08_023:1403935757571461130>
t08_024|<:t08_024:1403935763246350356>
t09_000|<:t09_000:1403934420800372756>
t09_001|<:t09_001:1403935773861871647>
t09_002|<:t09_002:1403935791465627670>
t09_010|<:t09_010:1403935792887234802>
t09_011|<:t09_011:1403935805940170865>
t09_012|<:t09_012:1403935812298608773>
t09_020|<:t09_020:1403935817096757329>
t09_021|<:t09_021:1403935822054690897>
t09_030|<:t09_030:1403935828400410756>
t09_031|<:t09_031:1403935834914164917>
t10_000|<:t10_000:1403934432259342366>
t10_001|<:t10_001:1403935852731564124>
t10_002|<:t10_002:1403935858523902013>
t10_003|<:t10_003:1403935862907207770>
t10_004|<:t10_004:1403935867877326888>
t10_010|<:t10_010:1403935872377819269>
t10_011|<:t10_011:1403935877045944451>
t10_012|<:t10_012:1403935881915793419>
t10_013|<:t10_013:1403935887632498748>
t10_020|<:t10_020:1403935893957378048>
t10_021|<:t10_021:1403935900496564284>
t10_022|<:t10_022:1403935905458425988>
t10_023|<:t10_023:1403935910625542276>
t10_031|<:t10_031:1403935917634359357>
t11_000|<:t11_000:1403934438525505546>
t11_001|<:t11_001:1403935933295890545>
t11_002|<:t11_002:1403935943274139699>
t11_003|<:t11_003:1403935948752027779>
t11_004|<:t11_004:1403935952958783549>
t11_005|<:t11_005:1403935959023620166>
t11_006|<:t11_006:1403935963486486569>
t11_007|<:t11_007:1403935967995363509>
t11_008|<:t11_008:1403935973817057390>
t11_009|<:t11_009:1403935980053860495>
t11_010|<:t11_010:1403935989252231168>
t11_011|<:t11_011:1403935994172145675>
t11_012|<:t11_012:1403936000451022969>
t11_013|<:t11_013:1403936005542641725>
t11_014|<:t11_014:1403936011456872468>
t11_015|<:t11_015:1403936016490037451>
t11_016|<:t11_016:1403936024777855098>
t11_017|<:t11_017:1403936035305427014>
t11_018|<:t11_018:1403936040179466332>
t11_019|<:t11_019:1403936045107646484>
t11_020|<:t11_020:1403936053957759087>
t11_021|<:t11_021:1403936060681097287>
t11_022|<:t11_022:1403936066796519516>
t11_023|<:t11_023:1403936100661330001>
t11_025|<:t11_025:1403936106340417626>
t11_026|<:t11_026:1403936116478050445>
t11_027|<:t11_027:1403936123499053097>
t11_028|<:t11_028:1403936145519280220>
t11_029|<:t11_029:1403936178981306438>
t11_030|<:t11_030:1403936192025723011>
t11_031|<:t11_031:1403936198120046593>
t11_032|<:t11_032:1403936202582790234>
t11_040|<:t11_040:1403936208589160611>
t11_041|<:t11_041:1403936214230372412>
t11_042|<:t11_042:1403936219649413261>
t12_000|<:t12_000:1403934444678676550>
t12_001|<:t12_001:1403936232425263174>
t12_002|<:t12_002:1403936237194051605>
t12_003|<:t12_003:1403936242260775002>
t12_010|<:t12_010:1403936246891544759>
t12_011|<:t12_011:1403936252008337502>
t12_012|<:t12_012:1403936256546574418>
t12_013|<:t12_013:1403936261365956718>
t12_020|<:t12_020:1403936267086991471>
t12_021|<:t12_021:1403936273105686620>
t12_022|<:t12_022:1403936278399025162>
t13_000|<:t13_000:1403934450554765473>
t13_001|<:t13_001:1403936290763968642>
t13_002|<:t13_002:1403936296111439922>
t13_003|<:t13_003:1403936301308317776>
t13_010|<:t13_010:1403936315606831164>
t13_011|<:t13_011:1403936329997226035>
t13_012|<:t13_012:1403936334233473245>
t13_020|<:t13_020:1403936339979800667>
t13_021|<:t13_021:1403936344400461845>
t13_030|<:t13_030:1403936348368535592>
t13_031|<:t13_031:1403936354169262150>
t13_040|<:t13_040:1403936359160352788>
t13_041|<:t13_041:1403936363610505317>
t14_000|<:t14_000:1403936368618508298>
t14_001|<:t14_001:1403936379829751870>
t14_004|<:t14_004:1403936385504772116>
t14_005|<:t14_005:1403936447437734000>
t14_006|<:t14_006:1403936452060123248>
t14_007|<:t14_007:1403936456786972754>
t14_008|<:t14_008:1403936416249151500>
t14_009|<:t14_009:1403936421030658158>
t14_010|<:t14_010:1403936427456069673>
t14_011|<:t14_011:1403936435744149525>
t14_014|<:t14_014:1403936440211210300>
t14_015|<:t14_015:1403936462248087702>
t14_016|<:t14_016:1403936472104702064>
t14_017|<:t14_017:1403936466811224174>
t14_018|<:t14_018:1403936487409455249>
t14_020|<:t14_020:1403936506715832340>
t14_021|<:t14_021:1403936510801088543>
t14_024|<:t14_024:1403936516312404100>
t14_030|<:t14_030:1403936520179683328>
t14_031|<:t14_031:1403936524722245692>
t14_034|<:t14_034:1403936529952538636>
t14_040|<:t14_040:1403936534721462352>
t14_041|<:t14_041:1403936541147136124>
t14_044|<:t14_044:1403936548587835574>
t14_050|<:t14_050:1403936553520070786>
t14_051|<:t14_051:1403936557995397180>
t14_054|<:t14_054:1403936564895158343>
t14_060|<:t14_060:1403936571874480189>
t14_061|<:t14_061:1403936575016009869>
t14_064|<:t14_064:1403936583106695188>
t14_070|<:t14_070:1403936588848828516>
t14_071|<:t14_071:1403936594322526342>
t14_072|<:t14_072:1403936600626561044>
t14_073|<:t14_073:1403936606141939823>
t14_074|<:t14_074:1403936612509028415>
t14_075|<:t14_075:1403936622713770054>
t14_080|<:t14_080:1403936629592297493>
t14_081|<:t14_081:1403936635434831903>
t14_082|<:t14_082:1403936641567162458>
t14_083|<:t14_083:1403936646889603232>
t14_084|<:t14_084:1403936651826302976>
t14_085|<:t14_085:1403936657232891964>
t14_090|<:t14_090:1403936662689677413>
t14_091|<:t14_091:1403936667311538216>
t14_092|<:t14_092:1403936673263390750>
t14_093|<:t14_093:1403936677948559544>
t14_094|<:t14_094:1403936684080365618>
t14_095|<:t14_095:1403936690963484764>
t15_000|<:t15_000:1403934457475366942>
t15_001|<:t15_001:1403936707056762961>
t15_002|<:t15_002:1403936711570100347>
t15_003|<:t15_003:1403936716561060074>
t15_004|<:t15_004:1403936720680124466>
t15_005|<:t15_005:1403936725260177509>
t15_006|<:t15_006:1403936730264113222>
t15_007|<:t15_007:1403936736878395402>
t15_008|<:t15_008:1403936741181751401>
t15_011|<:t15_011:1403936745728381048>
t15_012|<:t15_012:1403936750706884649>
t15_013|<:t15_013:1403936756633571438>
t15_015|<:t15_015:1403936766112694382>
t15_016|<:t15_016:1403936770638483568>
t15_017|<:t15_017:1403936776900313148>
t15_018|<:t15_018:1403936781610647684>
t15_020|<:t15_020:1403936786769772605>
t15_021|<:t15_021:1403936792058663013>
t15_022|<:t15_022:1403936797871837397>
t15_030|<:t15_030:1403936802531835924>
t15_031|<:t15_031:1403936815253033101>
t15_032|<:t15_032:1403936820206637066>
t15_040|<:t15_040:1403936824820236358>
t15_041|<:t15_041:1403936840700006491>
t15_042|<:t15_042:1403936845519261786>
t15_050|<:t15_050:1403936850346770473>
t15_051|<:t15_051:1403936859351945330>
t15_052|<:t15_052:1403936864905203835>
t15_060|<:t15_060:1403936875571581078>
t15_061|<:t15_061:1403936877769265282>
t15_062|<:t15_062:1403936939048177806>
t15_063|<:t15_063:1403936948921303093>
t15_070|<:t15_070:1403936953472258169>
t15_071|<:t15_071:1403936958975315999>
t15_072|<:t15_072:1403936967946801232>
t15_073|<:t15_073:1403936972363399229>
t15_080|<:t15_080:1403936979237998654>
t15_081|<:t15_081:1403936985059430420>
t15_082|<:t15_082:1403936992601051226>
t15_090|<:t15_090:1403936999882362920>
t15_091|<:t15_091:1403937006014300190>
t15_092|<:t15_092:1403937012502888568>
